code,f_hz,idd_a,vbp_v,vbn_v,nrise,vout_avg
0,0.0,2.87917e-06,1.09929,0.0336132,0,0.0
1,0.0,5.74757e-06,1.05506,0.067788,0,6.85072e-08
2,0.0,8.61687e-06,1.0324,0.0881069,0,6.86561e-08
4,0.0,1.43989e-05,1.00689,0.111798,0,6.93277e-08
8,0.0,2.60524e-05,0.980518,0.136637,0,7.22349e-08
16,0.0,5.06862e-05,0.926978,0.187329,0,0.857553
32,983825.9021683525,9.77875e-05,0.901826,0.211155,2,0.566597
64,2086767.8053462997,0.00019014,0.876652,0.234903,2,0.577846
128,4194103.091053976,0.000384214,0.851551,0.258326,2,0.570077
192,6108968.729716315,0.00055261,0.836916,0.271794,9,0.574654
255,7825644.637477012,0.000729249,0.826696,0.281096,9,0.583963
